Property_Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF
0,Gd,TA,No,GLQ,706,Unf,0,150,856
1,Gd,TA,Gd,ALQ,978,Unf,0,284,1262
2,Gd,TA,Mn,GLQ,486,Unf,0,434,920
3,TA,Gd,No,ALQ,216,Unf,0,540,756
4,Gd,TA,Av,GLQ,655,Unf,0,490,1145
5,Gd,TA,No,GLQ,732,Unf,0,64,796
6,Ex,TA,Av,GLQ,1369,Unf,0,317,1686
7,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107
8,TA,TA,No,Unf,0,Unf,0,952,952
9,TA,TA,No,GLQ,851,Unf,0,140,991
10,TA,TA,No,Rec,906,Unf,0,134,1040
11,Ex,TA,No,GLQ,998,Unf,0,177,1175
12,TA,TA,No,ALQ,737,Unf,0,175,912
13,Gd,TA,Av,Unf,0,Unf,0,1494,1494
14,TA,TA,No,BLQ,733,Unf,0,520,1253
15,TA,TA,No,Unf,0,Unf,0,832,832
16,TA,TA,No,ALQ,578,Unf,0,426,1004
17,No,No,No,No,0,No,0,0,0
18,TA,TA,No,GLQ,646,Unf,0,468,1114
19,TA,TA,No,LwQ,504,Unf,0,525,1029
20,Ex,TA,Av,Unf,0,Unf,0,1158,1158
21,TA,TA,No,Unf,0,Unf,0,637,637
22,Gd,TA,No,Unf,0,Unf,0,1777,1777
23,Gd,TA,No,GLQ,840,Unf,0,200,1040
24,TA,TA,Mn,Rec,188,ALQ,668,204,1060
25,Gd,TA,No,Unf,0,Unf,0,1566,1566
26,TA,TA,Mn,BLQ,234,Rec,486,180,900
27,Ex,TA,No,GLQ,1218,Unf,0,486,1704
28,TA,TA,Gd,BLQ,1277,Unf,0,207,1484
29,TA,TA,No,Unf,0,Unf,0,520,520
30,TA,TA,No,Unf,0,Unf,0,649,649
31,TA,TA,No,Unf,0,Unf,0,1228,1228
32,Ex,TA,Av,Unf,0,Unf,0,1234,1234
33,TA,TA,No,Rec,1018,Unf,0,380,1398
34,Ex,TA,No,GLQ,1153,Unf,0,408,1561
35,Ex,TA,Av,Unf,0,Unf,0,1117,1117
36,Gd,TA,No,Unf,0,Unf,0,1097,1097
37,TA,TA,No,Rec,1213,Unf,0,84,1297
38,TA,TA,No,GLQ,731,Unf,0,326,1057
39,No,No,No,No,0,No,0,0,0
40,TA,TA,No,Rec,643,Unf,0,445,1088
41,TA,TA,Gd,BLQ,967,Unf,0,383,1350
42,Gd,TA,Av,ALQ,747,LwQ,93,0,840
43,Gd,TA,Av,LwQ,280,BLQ,491,167,938
44,TA,TA,No,ALQ,179,BLQ,506,465,1150
45,Ex,TA,No,GLQ,456,Unf,0,1296,1752
46,Ex,TA,No,GLQ,1351,Unf,0,83,1434
47,Gd,TA,Av,GLQ,24,Unf,0,1632,1656
48,TA,TA,No,Unf,0,Unf,0,736,736
49,TA,TA,No,BLQ,763,Unf,0,192,955
50,Gd,TA,Av,GLQ,182,Unf,0,612,794
51,TA,TA,No,Unf,0,Unf,0,816,816
52,Gd,TA,Gd,LwQ,104,GLQ,712,0,816
53,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842
54,TA,TA,No,ALQ,384,Unf,0,0,384
55,TA,TA,No,BLQ,490,Unf,0,935,1425
56,Gd,TA,No,GLQ,649,Unf,0,321,970
57,Gd,TA,No,Unf,0,Unf,0,860,860
58,Ex,TA,Gd,Unf,0,Unf,0,1410,1410
59,TA,TA,Av,ALQ,632,Unf,0,148,780
60,Gd,TA,No,ALQ,941,Unf,0,217,1158
61,TA,Fa,No,Unf,0,Unf,0,530,530
62,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370
63,TA,TA,No,Unf,0,Unf,0,576,576
64,Gd,TA,No,GLQ,739,Unf,0,318,1057
65,Ex,TA,Av,Unf,0,Unf,0,1143,1143
66,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947
67,Gd,TA,Av,GLQ,1013,Unf,0,440,1453
68,TA,TA,No,Unf,0,Unf,0,747,747
69,TA,TA,No,BLQ,603,Unf,0,701,1304
70,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223
71,TA,TA,No,ALQ,565,Unf,0,280,845
72,Gd,TA,No,Unf,0,Unf,0,832,832
73,TA,TA,No,ALQ,320,BLQ,362,404,1086
74,Fa,TA,No,Unf,0,Unf,0,840,840
75,Gd,TA,Gd,GLQ,462,Unf,0,0,462
76,TA,TA,No,ALQ,228,Unf,0,724,952
77,TA,TA,No,BLQ,336,GLQ,41,295,672
78,TA,TA,No,Unf,0,Unf,0,1768,1768
79,TA,TA,No,Unf,0,Unf,0,440,440
80,Gd,TA,No,Rec,448,Unf,0,448,896
81,Ex,Gd,No,GLQ,1201,Unf,0,36,1237
82,Gd,TA,No,GLQ,33,Unf,0,1530,1563
83,TA,TA,No,Unf,0,Unf,0,1065,1065
84,Gd,TA,No,Unf,0,Unf,0,384,384
85,Gd,TA,No,Unf,0,Unf,0,1288,1288
86,Gd,TA,Av,Unf,0,Unf,0,684,684
87,Gd,TA,Av,Unf,0,Unf,0,612,612
88,TA,Fa,No,Unf,0,Unf,0,1013,1013
89,Gd,TA,No,GLQ,588,Unf,0,402,990
90,No,No,No,No,0,No,0,0,0
91,TA,TA,No,Rec,600,Unf,0,635,1235
92,Gd,TA,No,ALQ,713,Unf,0,163,876
93,TA,Fa,Mn,Rec,1046,Unf,0,168,1214
94,Gd,TA,No,GLQ,648,Unf,0,176,824
95,Gd,Gd,No,ALQ,310,Unf,0,370,680
96,Gd,TA,Av,ALQ,1162,Unf,0,426,1588
97,TA,TA,No,Rec,520,Unf,0,440,960
98,TA,TA,No,ALQ,108,Unf,0,350,458
99,TA,TA,No,ALQ,569,Unf,0,381,950
100,TA,TA,Mn,ALQ,1200,Unf,0,410,1610
101,Gd,TA,No,Unf,0,Unf,0,741,741
102,No,No,No,No,0,No,0,0,0
103,Gd,TA,No,Unf,0,Unf,0,1226,1226
104,TA,TA,No,LwQ,224,Unf,0,816,1040
105,Ex,TA,No,Unf,0,Unf,0,1053,1053
106,Fa,TA,No,Unf,0,Unf,0,641,641
107,TA,TA,No,ALQ,104,BLQ,169,516,789
108,TA,TA,No,Unf,0,Unf,0,793,793
109,Gd,TA,No,BLQ,705,Unf,0,1139,1844
110,TA,Fa,No,Rec,444,Unf,0,550,994
111,Gd,TA,No,GLQ,250,Unf,0,134,384
112,Ex,TA,Av,GLQ,984,Unf,0,280,1264
113,Gd,TA,Mn,ALQ,35,Rec,869,905,1809
114,TA,TA,No,ALQ,774,LwQ,150,104,1028
115,Gd,TA,No,GLQ,419,Unf,0,310,729
116,TA,TA,No,LwQ,170,BLQ,670,252,1092
117,Gd,TA,No,Unf,0,Unf,0,1125,1125
118,Gd,TA,Mn,GLQ,1470,Unf,0,203,1673
119,Gd,TA,No,Unf,0,Unf,0,728,728
120,TA,TA,Gd,ALQ,938,Unf,0,0,938
121,TA,TA,No,Unf,0,Unf,0,732,732
122,TA,TA,No,BLQ,570,Unf,0,510,1080
123,Gd,TA,No,GLQ,300,Unf,0,899,1199
124,Gd,Fa,No,Unf,0,Unf,0,1362,1362
125,TA,TA,Av,GLQ,490,Unf,0,30,520
126,Gd,TA,No,ALQ,120,Unf,0,958,1078
127,TA,TA,No,LwQ,116,Unf,0,556,672
128,TA,TA,No,BLQ,512,Unf,0,148,660
129,TA,TA,No,Rec,567,BLQ,28,413,1008
130,TA,TA,No,Rec,445,Unf,0,479,924
131,Gd,TA,No,GLQ,695,Unf,0,297,992
132,TA,TA,No,Rec,405,Unf,0,658,1063
133,Ex,TA,No,GLQ,1005,Unf,0,262,1267
134,TA,TA,No,Rec,570,Unf,0,891,1461
135,TA,TA,No,Unf,0,Unf,0,1304,1304
136,TA,TA,No,BLQ,695,Unf,0,519,1214
137,TA,TA,No,Unf,0,Unf,0,1907,1907
138,Gd,TA,Mn,GLQ,668,Unf,0,336,1004
139,Gd,TA,No,GLQ,821,Unf,0,107,928
140,TA,TA,No,ALQ,432,Unf,0,432,864
141,Gd,TA,Av,GLQ,1300,Unf,0,434,1734
142,TA,TA,No,Rec,507,Unf,0,403,910
143,Gd,TA,Gd,GLQ,679,Unf,0,811,1490
144,TA,TA,No,Rec,1332,Unf,0,396,1728
145,Gd,TA,No,Unf,0,Unf,0,970,970
146,TA,TA,No,BLQ,209,Unf,0,506,715
147,Gd,TA,No,Unf,0,Unf,0,884,884
148,Gd,TA,No,GLQ,680,Unf,0,400,1080
149,Gd,TA,No,Unf,0,Unf,0,896,896
150,TA,TA,Av,BLQ,716,Unf,0,253,969
151,Ex,TA,Gd,GLQ,1400,Unf,0,310,1710
152,TA,TA,No,Rec,416,Unf,0,409,825
153,Gd,TA,Gd,BLQ,429,ALQ,1080,93,1602
154,TA,TA,No,Unf,0,Unf,0,1200,1200
155,TA,TA,No,Unf,0,Unf,0,572,572
156,No,No,No,No,0,No,0,0,0
157,Ex,TA,No,Unf,0,Unf,0,774,774
158,Gd,TA,No,GLQ,222,Unf,0,769,991
159,Gd,TA,Mn,GLQ,57,Unf,0,1335,1392
160,Gd,TA,No,BLQ,660,Unf,0,572,1232
161,Ex,TA,Av,GLQ,1016,Unf,0,556,1572
162,Gd,TA,Mn,BLQ,1201,Unf,0,340,1541
163,TA,TA,No,Unf,0,Unf,0,882,882
164,TA,TA,Mn,LwQ,370,Unf,0,779,1149
165,TA,TA,No,ALQ,351,Rec,181,112,644
166,TA,TA,No,LwQ,379,BLQ,768,470,1617
167,Ex,TA,No,GLQ,1288,Unf,0,294,1582
168,Gd,TA,No,Unf,0,Unf,0,840,840
169,Gd,TA,No,Unf,0,Unf,0,1686,1686
170,TA,TA,No,Rec,360,Unf,0,360,720
171,TA,Gd,Gd,BLQ,639,Unf,0,441,1080
172,Gd,Gd,No,GLQ,495,Rec,215,354,1064
173,TA,TA,No,ALQ,288,Rec,374,700,1362
174,Gd,Fa,No,ALQ,1398,LwQ,208,0,1606
175,TA,Gd,Av,ALQ,477,Unf,0,725,1202
176,Gd,TA,No,GLQ,831,Unf,0,320,1151
177,TA,TA,No,ALQ,57,BLQ,441,554,1052
178,Ex,TA,No,GLQ,1904,Unf,0,312,2216
179,TA,TA,No,Unf,0,Unf,0,968,968
180,Gd,TA,No,GLQ,436,Unf,0,320,756
181,Fa,TA,No,LwQ,352,Unf,0,441,793
182,No,No,No,No,0,No,0,0,0
183,Gd,TA,No,Unf,0,Unf,0,1362,1362
184,Fa,TA,No,Unf,0,Unf,0,504,504
185,TA,TA,Mn,Unf,0,Unf,0,1107,1107
186,Gd,TA,Av,GLQ,611,Unf,0,577,1188
187,Fa,TA,No,Unf,0,Unf,0,660,660
188,Gd,TA,Av,GLQ,1086,Unf,0,0,1086
189,Ex,TA,Av,GLQ,1153,Unf,0,440,1593
190,Gd,Gd,No,Rec,297,Unf,0,556,853
191,TA,TA,No,ALQ,626,Unf,0,99,725
192,Gd,TA,Av,GLQ,560,Unf,0,871,1431
193,Gd,TA,No,Unf,0,Unf,0,970,970
194,TA,TA,Av,ALQ,390,Unf,0,474,864
195,Gd,TA,No,ALQ,566,Unf,0,289,855
