Property_Id,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond
0,Attchd,2003,RFn,2,548,TA,TA
1,Attchd,1976,RFn,2,460,TA,TA
2,Attchd,2001,RFn,2,608,TA,TA
3,Detchd,1998,Unf,3,642,TA,TA
4,Attchd,2000,RFn,3,836,TA,TA
5,Attchd,1993,Unf,2,480,TA,TA
6,Attchd,2004,RFn,2,636,TA,TA
7,Attchd,1973,RFn,2,484,TA,TA
8,Detchd,1931,Unf,2,468,Fa,TA
9,Attchd,1939,RFn,1,205,Gd,TA
10,Detchd,1965,Unf,1,384,TA,TA
11,BuiltIn,2005,Fin,3,736,TA,TA
12,Detchd,1962,Unf,1,352,TA,TA
13,Attchd,2006,RFn,3,840,TA,TA
14,Attchd,1960,RFn,1,352,TA,TA
15,Detchd,1991,Unf,2,576,TA,TA
16,Attchd,1970,Fin,2,480,TA,TA
17,CarPort,1967,Unf,2,516,TA,TA
18,Detchd,2004,Unf,2,576,TA,TA
19,Attchd,1958,Unf,1,294,TA,TA
20,BuiltIn,2005,RFn,3,853,TA,TA
21,Attchd,1930,Unf,1,280,TA,TA
22,Attchd,2002,RFn,2,534,TA,TA
23,Attchd,1976,Unf,2,572,TA,TA
24,Attchd,1968,Unf,1,270,TA,TA
25,Attchd,2007,RFn,3,890,TA,TA
26,Detchd,2005,Unf,2,576,TA,TA
27,Attchd,2008,RFn,3,772,TA,TA
28,Attchd,1957,RFn,1,319,TA,TA
29,Detchd,1920,Unf,1,240,Fa,TA
30,Detchd,1920,Unf,1,250,TA,Fa
31,Attchd,1966,Unf,1,271,TA,TA
32,Attchd,2007,RFn,2,484,TA,TA
33,Attchd,1959,RFn,2,447,TA,TA
34,Attchd,2005,Fin,2,556,TA,TA
35,BuiltIn,2004,Fin,3,691,TA,TA
36,Attchd,1995,Unf,2,672,TA,TA
37,Attchd,1954,Fin,2,498,TA,TA
38,Detchd,1953,Unf,1,246,TA,TA
39,No,,No,0,0,No,No
40,Attchd,1965,RFn,2,440,TA,TA
41,Attchd,1959,RFn,1,308,TA,TA
42,Attchd,1983,RFn,2,504,TA,Gd
43,Detchd,1977,Unf,1,308,TA,TA
44,Attchd,1959,RFn,1,300,TA,TA
45,Attchd,2005,RFn,2,576,TA,TA
46,Attchd,2003,RFn,2,670,TA,TA
47,Attchd,2006,RFn,3,826,TA,TA
48,No,,No,0,0,No,No
49,Attchd,1966,Unf,1,386,TA,TA
50,Attchd,1997,Fin,2,388,TA,TA
51,Detchd,1985,Unf,2,528,TA,TA
52,CarPort,1963,Unf,2,516,TA,TA
53,Attchd,1981,Fin,3,894,TA,TA
54,Detchd,1962,Unf,2,572,TA,TA
55,Attchd,1964,RFn,2,576,TA,TA
56,Attchd,1999,Fin,2,480,TA,TA
57,Attchd,2004,RFn,2,565,TA,TA
58,BuiltIn,2006,Fin,3,641,TA,TA
59,Detchd,1973,Unf,1,352,TA,TA
60,Detchd,2006,Unf,2,576,TA,TA
61,Detchd,1935,Unf,1,288,TA,TA
62,Attchd,2006,RFn,2,484,TA,TA
63,Detchd,1990,Unf,2,480,TA,TA
64,Attchd,1998,RFn,2,645,TA,TA
65,BuiltIn,2004,RFn,3,852,TA,TA
66,Attchd,1970,RFn,2,576,TA,TA
67,Attchd,2003,RFn,2,558,TA,TA
68,Attchd,1945,Unf,1,220,TA,TA
69,Attchd,1953,Fin,2,667,TA,TA
70,Attchd,1973,Fin,2,516,TA,TA
71,Detchd,1987,Unf,2,360,TA,TA
72,Attchd,1998,Fin,2,427,TA,TA
73,Attchd,1989,Unf,2,490,TA,TA
74,Detchd,1915,Unf,1,379,TA,TA
75,BuiltIn,1973,Unf,1,297,TA,TA
76,Detchd,1956,Unf,1,283,TA,TA
77,Detchd,1948,Unf,1,240,TA,TA
78,No,,No,0,0,No,No
79,Detchd,1966,Unf,2,440,TA,TA
80,Attchd,1968,Fin,1,509,TA,TA
81,Attchd,1998,Fin,2,405,TA,TA
82,Attchd,2007,RFn,3,758,TA,TA
83,Detchd,1974,Unf,2,461,TA,TA
84,BuiltIn,1995,Fin,2,400,TA,TA
85,Attchd,1991,Unf,2,462,TA,TA
86,BuiltIn,2005,Fin,2,400,TA,TA
87,Detchd,2009,RFn,2,528,TA,TA
88,No,,No,0,0,No,No
89,No,,No,0,0,No,No
90,Detchd,1950,Unf,2,420,TA,TA
91,Attchd,1961,Unf,2,480,TA,TA
92,Detchd,1921,Unf,2,432,TA,TA
93,Detchd,1900,Unf,2,506,TA,TA
