PropertyID,CentralAir,BsmtFullBath,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BsmtHalfBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Electrical,Heating,HeatingQC
0,Y,1,856,854,0,1710,2,1,0,1,Gd,8,Typ,0,No,SBrkr,GasA,Ex
1,Y,0,1262,0,0,1262,2,0,1,1,TA,6,Typ,1,TA,SBrkr,GasA,Ex
2,Y,1,920,866,0,1786,2,1,0,1,Gd,6,Typ,1,TA,SBrkr,GasA,Ex
3,Y,1,961,756,0,1717,1,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Gd
4,Y,1,1145,1053,0,2198,2,1,0,1,Gd,9,Typ,1,TA,SBrkr,GasA,Ex
5,Y,1,796,566,0,1362,1,1,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
6,Y,1,1694,0,0,1694,2,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Ex
7,Y,1,1107,983,0,2090,2,1,0,1,TA,7,Typ,2,TA,SBrkr,GasA,Ex
8,Y,0,1022,752,0,1774,2,0,0,2,TA,8,Min1,2,TA,FuseF,GasA,Gd
9,Y,1,1077,0,0,1077,1,0,0,2,TA,5,Typ,2,TA,SBrkr,GasA,Ex
10,Y,1,1040,0,0,1040,1,0,0,1,TA,5,Typ,0,No,SBrkr,GasA,Ex
11,Y,1,1182,1142,0,2324,3,0,0,1,Ex,11,Typ,2,Gd,SBrkr,GasA,Ex
12,Y,1,912,0,0,912,1,0,0,1,TA,4,Typ,0,No,SBrkr,GasA,TA
13,Y,0,1494,0,0,1494,2,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Ex
14,Y,1,1253,0,0,1253,1,1,0,1,TA,5,Typ,1,Fa,SBrkr,GasA,TA
15,Y,0,854,0,0,854,1,0,0,1,TA,5,Typ,0,No,FuseA,GasA,Ex
16,Y,1,1004,0,0,1004,1,0,0,1,TA,5,Typ,1,TA,SBrkr,GasA,Ex
17,Y,0,1296,0,0,1296,2,0,0,2,TA,6,Typ,0,No,SBrkr,GasA,TA
18,Y,1,1114,0,0,1114,1,1,0,1,Gd,6,Typ,0,No,SBrkr,GasA,Ex
19,Y,0,1339,0,0,1339,1,0,0,1,TA,6,Min1,0,No,SBrkr,GasA,TA
20,Y,0,1158,1218,0,2376,3,1,0,1,Gd,9,Typ,1,Gd,SBrkr,GasA,Ex
21,Y,0,1108,0,0,1108,1,0,0,1,Gd,6,Typ,1,Gd,FuseF,GasA,Ex
22,Y,0,1795,0,0,1795,2,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Ex
23,Y,1,1060,0,0,1060,1,0,0,1,TA,6,Typ,1,TA,SBrkr,GasA,TA
24,Y,1,1060,0,0,1060,1,0,0,1,Gd,6,Typ,1,TA,SBrkr,GasA,Ex
25,Y,0,1600,0,0,1600,2,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Ex
26,Y,0,900,0,0,900,1,0,1,1,Gd,5,Typ,0,No,SBrkr,GasA,TA
27,Y,1,1704,0,0,1704,2,0,0,1,Gd,7,Typ,1,Gd,SBrkr,GasA,Ex
28,Y,1,1600,0,0,1600,1,0,0,1,TA,6,Typ,2,Gd,SBrkr,GasA,TA
29,N,0,520,0,0,520,1,0,0,1,Fa,4,Typ,0,No,SBrkr,GasA,Fa
30,N,0,649,668,0,1317,1,0,0,1,TA,6,Typ,0,No,SBrkr,GasA,TA
