Property_Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2
0,SC60,RL,65,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
1,SC20,RL,80,9600,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm
2,SC60,RL,68,11250,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
3,SC70,RL,60,9550,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm
4,SC60,RL,84,14260,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm
5,SC50,RL,85,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm
6,SC20,RL,75,10084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm
7,SC60,RL,0,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm
8,SC50,RM,51,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm
9,SC190,RL,50,7420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery
10,SC20,RL,70,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
11,SC60,RL,85,11924,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
12,SC20,RL,0,12968,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
13,SC20,RL,91,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
14,SC20,RL,0,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
15,SC45,RM,51,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm
16,SC20,RL,0,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm
17,SC90,RL,72,10791,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
18,SC20,RL,66,13695,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm
19,SC20,RL,70,7560,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
20,SC60,RL,101,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm
21,SC45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm
22,SC20,RL,75,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm
23,SC120,RM,44,4224,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm
24,SC20,RL,0,8246,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm
25,SC20,RL,110,14230,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm
26,SC20,RL,60,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm
27,SC20,RL,98,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
28,SC20,RL,47,16321,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm
29,SC30,RM,60,6324,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn
30,SC70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm
31,SC20,RL,0,8544,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm
32,SC20,RL,85,11049,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm
33,SC20,RL,70,10552,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm
34,SC120,RL,60,7313,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
35,SC60,RL,108,13418,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm
